id,username,name,sex,mail,F_0,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,Age Group
0,pughelizabeth,John Thomas,M,jdonovan@gmail.com,24.377651802029856,6.205518819871983,15.750632750947526,28.922554591651696,6.810879294335924,27.454414287889538,25.62615297703386,-0.17376760918081247,23.3202468647218,5.880010050050413,19.865187323511822,15.633085065591079,24.384911324502735,16.522864819687697,3.3710445365950577,7.513099099580408,18.9943388706674,20.201504284865727,12.128521094169768,25.274261323912004,9.88558364890904,25.860516402092426,20.329143287624962,-3.643673983347376,20.498650654680937,14.458669434239486,6.045970925797697,9.259897817359082,6.096941454162187,23.38542047202821,8.664021902278838,17.541945823179866,,19.366714173624718,24.598599978880372,15.818636923525496,12.773051971501127,4.769078982221877,7.610147117526029,22.291178225522874,senior
1,jasmine62,Ashley Smith,F,bgreen@gmail.com,23.89493043246472,0.7698265386035446,13.30198654933767,25.478206167405933,5.941571166563552,31.802489594027165,25.965312179097833,-0.03626110696255869,22.582121080938176,0.4443177687819748,20.688769308583005,15.206368061356606,20.999882437642245,22.359431498044376,1.405898522453286,22.14175463455655,15.549990446421635,24.248265504415688,17.35815424010748,26.055042224727057,9.857534048747066,24.883876230212557,23.168360258924334,-1.9183710594243197,22.618309150921647,12.890212250247586,11.486057692647677,13.234999106017998,5.773351069490998,27.43218169157817,14.104108669128818,22.771578969117577,4.568892189090443,20.882008800917113,21.496036912570496,17.668151997147145,18.00268511743884,2.654487572758725,9.588464623532731,22.630337427586845,senior
3,,,M,,,4.162530546637277,15.3279392610274,29.866582478613832,6.236799325787708,29.589765249931045,19.71602467963089,2.5890275808259915,22.05272938306909,3.8370217768157073,20.887899561945158,14.847741964747687,19.70039110891616,17.08158485655199,4.243181194786114,13.548703897542772,19.938366757629534,22.83522577771643,15.57521819921733,22.626893006076855,16.256466842644798,26.72847617888483,19.457066593084626,-3.479190681456219,26.027078361985403,14.761646100412339,8.067092709785253,10.97920115013223,6.190034405105919,26.019141964878912,10.685143686266395,20.988642928227424,4.592626672620939,18.855746865738723,23.824162662176636,15.717620103120847,16.219749076548688,2.101744139076595,7.3085921663639315,16.381049928119904,senior
4,qrhodes,Rebecca Young,F,mlopez@yahoo.com,24.12152008100386,-3.262616583123904,15.355261507772873,19.789085258994,6.2566287074044755,,33.1972916500912,2.750788995086409,22.03557413641502,-3.5881253529454735,18.625812806160422,15.366311373280649,20.310866289272457,16.821984595347683,8.241708698863626,27.066460545280428,9.8608695380097,22.3657022848912,23.104196648891705,22.260948180513182,10.19507395532926,26.087346121664947,28.619558551249536,-4.200904299251015,23.065444916066518,7.042981239500443,7.776247026593113,13.34322860710924,4.763891908179888,25.54961847205368,10.394298003074255,28.5176213779018,3.6304820466680807,19.76628422724991,15.648124121446433,12.38920768943985,23.748727526223064,0.43474292631210665,8.81181821660604,29.86231689858021,adult
6,sandra99,Arthur Davis,M,bennettalan@gmail.com,24.19107894967784,,13.529772761612119,25.452487520086713,5.779303888750157,26.955360431503777,27.871395590433202,1.9440913573571654,22.241408867998313,4.5554759057749505,20.34161490354046,16.046133643987297,16.73660318621646,16.965768160124313,4.723325113699224,14.09592368213931,15.524271799102415,20.141783180677002,,28.54357904839398,13.176997587677732,24.847507341934904,22.419733231843082,2.434158700304633,24.302857626944927,10.816715204788766,9.888166994658139,10.841854739693755,6.920268330029595,23.325699367839484,12.50621797113928,20.53310660199097,2.896440670933947,19.073371262662636,22.162888082509166,13.289613611132316,15.764212750312232,-1.1092321037767228,9.314235337678484,24.536420838922215,adult
7,christine87,Adrienne Murphy,F,livingstonkenneth@yahoo.com,19.337826683775926,0.122800792953913,17.41550616077472,28.23232856859613,4.444954462197878,33.04436866718721,18.445579398657436,0.6874019462922947,22.24710866454824,-0.20270797686765674,19.209278048784235,15.122964304696385,21.334168029620074,18.69218655406533,4.442110069195539,14.860663532381919,18.304112847611833,20.36582869296127,16.162426541630534,29.053981906061225,16.31369896934089,26.78838115990936,19.04131041095342,1.2726471399452766,21.66012880967474,17.65947428210864,6.175410112817699,11.27091577137261,4.870207630485413,23.54974488012375,8.793461089298841,21.57585127064063,4.025156006300299,19.91069434866758,23.784757438779465,14.00049740839694,16.806957418961893,-3.3989751757993267,9.588744289221488,15.110604647146449,child
8,codygreen,Kimberly Smith,F,nmack@hotmail.com,,-1.8117528308790445,16.572425467226566,23.86651142804489,6.034957543824115,28.681430866451088,22.566790936083724,-1.2371415219968556,21.292174256182133,-2.137261600700614,19.264920412848173,16.26281988481997,24.672153118632245,25.459690159339445,4.69048308047853,19.787936870778523,13.938295707060593,21.25802675508676,14.121307419187227,21.747048583394886,17.73036250838673,24.679559359386463,17.9539543198272,,23.30994329807854,11.03412671916172,10.05906012020716,17.071705099337812,5.3678837356513185,24.44194294224924,12.6771110966883,19.53473214819732,3.941829502064911,18.533241718074517,26.32668879789944,22.058797476037327,14.765838296518586,-4.870468780467624,8.368481616631437,19.231816184572736,senior
9,craiglopez,,F,huntsamantha@gmail.com,25.18202073674945,2.2216693993409407,7.8469280448510785,23.71764808809513,6.883781897361153,,31.346675958395394,-1.8980468189739859,24.08744999909312,1.896160629519371,18.27490157189294,16.339645546345764,19.668713525819037,19.387717337201035,6.478712683471516,11.744562832996866,13.789432367110834,23.191623404429777,17.678268404203305,25.782018465495298,16.717302800334476,26.871799502977158,25.029035729808772,-1.6168496925363725,21.11824031639739,6.796347116936837,10.875142391450106,13.801235296089793,7.054033808433277,26.375539591592258,13.493193367931248,23.0916931332134,3.513436514467858,18.35288589816268,24.58378017705984,14.151546008861835,18.322799281534664,-5.102280216910375,6.727608174268142,28.011701206884407,child
10,robert80,George Ball,M,tonyerickson@gmail.com,26.88378773905476,0.5358133160899654,12.492992507868465,30.430477526649142,,30.81158607016821,29.75449840968411,0.6433814901950715,21.11588844174619,0.21030454626839568,19.347728631771794,16.08322115845967,18.63197522888492,22.142905803386434,-0.031681476527325,25.342949368499568,20.502261805664844,21.13261428160964,16.470345814198527,30.52957980317941,10.195628363815963,26.39191845143542,22.906065850534148,-3.07072615486533,21.749774364773167,11.810117391320462,8.478554715231114,13.199076098085765,6.221278466282651,24.31653046877212,11.096605691712256,21.883770543208623,2.065100832636001,18.304505540694127,19.56361809235687,3.847813259184937,17.114876691529886,-0.07578305425120668,8.52361873727871,26.419523658173123,senior
11,,,M,amyhernandez@yahoo.com,21.602352763353274,,13.320251113179369,23.69623272225194,6.212831034694893,28.183287723301362,11.311186554611902,0.5961721904950229,22.876020184389183,1.7038790987915529,19.302084994167604,15.604194466284932,21.55324468458265,17.57211124898169,2.8032741450860086,8.336166119147647,13.76801700126764,25.84791324709451,10.781112009767087,29.853255521074413,12.995404417433555,26.102949162288528,20.532402052793884,-3.0070492955718127,28.38448140753892,10.474219638003778,6.326576156764139,13.643963262510042,6.335364393266483,29.03182943425699,8.94462713324528,16.19453673877718,4.414999322998962,20.125783901294348,,5.738361702115286,11.425642887098446,-3.1863501478892085,9.861920530997304,7.976211803100915,adult
